/bailing_gongzuo_jiaotan-001	load:0.15	watermark:0.254	recognition:5.488	encrypt:9.583	compress:9.672	writeFileSync:9.673	end:9.674	9.678
/bailing_gongzuo_jiaotan-009	load:0.012	watermark:0.014	recognition:7.533	encrypt:11.489	compress:11.588	writeFileSync:11.615	end:11.616	11.949
/bailing_gongzuo_jiaotan-016	load:0.01	watermark:0.012	recognition:6.888	encrypt:11.653	compress:11.729	writeFileSync:11.765	end:11.766	11.997
/shangwu_gongzuo_chuchai-027	load:0.005	watermark:0.008	recognition:4.829	encrypt:11.492	compress:11.63	writeFileSync:11.631	end:11.631	12.058
/shangwu_gongzuo_chuchai-001	load:0.009	watermark:0.011	recognition:7.952	encrypt:11.284	compress:11.364	writeFileSync:11.365	end:11.365	12.038
/xiaoyuan_shenghuo	load:0.008	watermark:0.01	recognition:7.554	encrypt:10.866	compress:10.957	writeFileSync:10.96	end:10.96	12.088
/xiaoyuan_shenghuo-015	load:0.007	watermark:0.009	recognition:7.678	encrypt:11.216	compress:11.305	writeFileSync:11.306	end:11.306	12.147
/shangwu_gongzuo_chuchai-004	load:0.008	watermark:0.01	recognition:7.662	encrypt:11.315	compress:11.426	writeFileSync:11.428	end:11.429	12.205
/cannes_international_film_festival-005	load:0.009	watermark:0.011	recognition:7.876	encrypt:11.716	compress:11.831	writeFileSync:11.837	end:11.837	12.269
/shangwu_gongzuo_chuchai-010	load:0.006	watermark:0.023	recognition:5.171	encrypt:11.822	compress:11.925	writeFileSync:11.94	end:11.942	12.286
/xiaoyuan_shenghuo-005	load:0.008	watermark:0.01	recognition:8.458	encrypt:11.191	compress:11.257	writeFileSync:11.258	end:11.258	12.280
/cannes_international_film_festival-019	load:0.04	watermark:0.041	recognition:7.774	encrypt:11.985	compress:12.079	writeFileSync:12.091	end:12.091	12.407
/xiaoyuan_shenghuo-012	load:0.007	watermark:0.009	recognition:7.917	encrypt:10.985	compress:11.056	writeFileSync:11.057	end:11.057	12.380
/bailing_gongzuo_jiaotan-010	load:0.009	watermark:0.01	recognition:7.917	encrypt:12.225	compress:12.264	writeFileSync:12.265	end:12.265	12.533
/shangwu_gongzuo_chuchai-011	load:0.006	watermark:0.008	recognition:5.273	encrypt:11.727	compress:11.839	writeFileSync:11.84	end:11.84	12.549
/xiaoyuan_shenghuo-014	load:0.007	watermark:0.009	recognition:7.623	encrypt:11.026	compress:11.109	writeFileSync:11.11	end:11.111	12.594
/shangwu_gongzuo_chuchai-018	load:0.005	watermark:0.008	recognition:6.246	encrypt:11.937	compress:12.009	writeFileSync:12.053	end:12.053	12.731
/xiaoyuan_shenghuo	load:0.007	watermark:0.009	recognition:7.883	encrypt:11.283	compress:11.362	writeFileSync:11.379	end:11.383	12.680
/shangwu_gongzuo_chuchai-019	load:0.006	watermark:0.009	recognition:5.806	encrypt:12.167	compress:12.247	writeFileSync:12.3	end:12.3	12.783
/cannes_international_film_festival-009	load:0.009	watermark:0.011	recognition:7.807	encrypt:12.339	compress:12.425	writeFileSync:12.448	end:12.448	12.792
/shangwu_gongzuo_chuchai-002	load:0.009	watermark:0.011	recognition:7.028	encrypt:12.223	compress:12.31	writeFileSync:12.312	end:12.345	12.851
/xiaoyuan_shenghuo-002	load:0.008	watermark:0.009	recognition:8.168	encrypt:11.971	compress:12.078	writeFileSync:12.079	end:12.099	12.820
/shangwu_gongzuo_chuchai-009	load:0.007	watermark:0.009	recognition:4.947	encrypt:12.374	compress:12.461	writeFileSync:12.462	end:12.462	13.117
/cannes_international_film_festival-003	load:0.009	watermark:0.01	recognition:7.266	encrypt:12.794	compress:12.857	writeFileSync:12.858	end:12.858	13.172
/cannes_international_film_festival-001	load:0.015	watermark:0.027	recognition:8.656	encrypt:12.883	compress:12.951	writeFileSync:12.967	end:12.967	13.256
/bailing_gongzuo_jiaotan-004	load:0.249	watermark:0.251	recognition:8.309	encrypt:13.415	compress:13.472	writeFileSync:13.473	end:13.473	13.489
/cannes_international_film_festival-010	load:0.009	watermark:0.011	recognition:8.634	encrypt:12.297	compress:12.361	writeFileSync:12.362	end:12.362	13.416
/xiaoyuan_shenghuo-007	load:0.008	watermark:0.01	recognition:8.71	encrypt:12.249	compress:12.372	writeFileSync:12.373	end:12.373	13.525
/bailing_gongzuo_jiaotan-012	load:0.009	watermark:0.011	recognition:8.137	encrypt:12.148	compress:12.237	writeFileSync:12.24	end:12.241	13.521
/cannes_international_film_festival-002	load:0.008	watermark:0.01	recognition:8.959	encrypt:12.923	compress:13.006	writeFileSync:13.032	end:13.032	13.643
/bailing_gongzuo_jiaotan-008	load:0.01	watermark:0.011	recognition:7.609	encrypt:13.379	compress:13.547	writeFileSync:13.549	end:13.549	13.867
/cannes_international_film_festival-017	load:0.015	watermark:0.017	recognition:8.201	encrypt:13.469	compress:13.574	writeFileSync:13.575	end:13.575	13.870
/cannes_international_film_festival-008	load:0.123	watermark:0.125	recognition:7.393	encrypt:13.791	compress:13.895	writeFileSync:13.896	end:13.896	13.930
/shangwu_gongzuo_chuchai-014	load:0.006	watermark:0.009	recognition:5.88	encrypt:12.956	compress:13.039	writeFileSync:13.039	end:13.039	13.879
/bailing_gongzuo_jiaotan-005	load:0.181	watermark:0.182	recognition:8.209	encrypt:14.039	compress:14.139	writeFileSync:14.14	end:14.14	14.150
/cannes_international_film_festival-004	load:0.009	watermark:0.011	recognition:9.054	encrypt:13.616	compress:13.733	writeFileSync:13.734	end:13.737	14.030
/shangwu_gongzuo_chuchai-031	load:0.006	watermark:0.009	recognition:5.376	encrypt:12.347	compress:12.446	writeFileSync:12.447	end:12.447	13.970
/bailing_gongzuo_jiaotan-014	load:0.01	watermark:0.012	recognition:8.92	encrypt:12.819	compress:12.89	writeFileSync:12.891	end:12.891	14.157
/bailing_gongzuo_jiaotan-009	load:0.01	watermark:0.012	recognition:8.481	encrypt:12.709	compress:12.786	writeFileSync:12.787	end:12.787	14.204
/cannes_international_film_festival-012	load:0.007	watermark:0.009	recognition:6.291	encrypt:13.945	compress:14.044	writeFileSync:14.045	end:14.045	14.380
/bailing_gongzuo_jiaotan-022	load:0.006	watermark:0.01	recognition:6.123	encrypt:13.852	compress:13.971	writeFileSync:13.972	end:13.972	14.490
/cannes_international_film_festival-007	load:0.008	watermark:0.01	recognition:9.601	encrypt:13.625	compress:13.714	writeFileSync:13.716	end:13.717	14.427
/cannes_international_film_festival-015	load:0.009	watermark:0.011	recognition:9.535	encrypt:14.213	compress:14.301	writeFileSync:14.302	end:14.302	14.569
/bailing_gongzuo_jiaotan-002	load:0.232	watermark:0.234	recognition:7.997	encrypt:14.698	compress:14.802	writeFileSync:14.803	end:14.803	14.808
/shangwu_gongzuo_chuchai-015	load:0.005	watermark:0.008	recognition:4.991	encrypt:14.057	compress:14.172	writeFileSync:14.182	end:14.183	14.582
/bailing_gongzuo_jiaotan-007	load:0.008	watermark:0.01	recognition:10.616	encrypt:14.314	compress:14.38	writeFileSync:14.397	end:14.397	14.636
/bailing_gongzuo_jiaotan-021	load:0.053	watermark:0.143	recognition:4.221	encrypt:14.546	compress:14.726	writeFileSync:14.727	end:14.727	14.733
/shangwu_gongzuo_chuchai-004	load:0.009	watermark:0.011	recognition:8.833	encrypt:13.174	compress:13.226	writeFileSync:13.227	end:13.228	14.631
/shangwu_gongzuo_chuchai-012	load:0.006	watermark:0.01	recognition:5.018	encrypt:13.715	compress:13.824	writeFileSync:13.825	end:13.825	14.767
/shangwu_gongzuo_chuchai-026	load:0.006	watermark:0.009	recognition:5.703	encrypt:14.315	compress:14.437	writeFileSync:14.439	end:14.439	15.049
/bailing_gongzuo_jiaotan-018	load:0.005	watermark:0.008	recognition:5.822	encrypt:13.301	compress:13.417	writeFileSync:13.419	end:13.419	14.960
/shangwu_gongzuo_chuchai-024	load:0.007	watermark:0.01	recognition:7.021	encrypt:14.354	compress:14.462	writeFileSync:14.463	end:14.463	15.250
/shangwu_gongzuo_chuchai-030	load:0.006	watermark:0.008	recognition:6.126	encrypt:14.224	compress:14.349	writeFileSync:14.351	end:14.351	15.259
/bailing_gongzuo_jiaotan-006	load:0.01	watermark:0.012	recognition:9.626	encrypt:13.566	compress:13.611	writeFileSync:13.636	end:13.637	15.218
/bailing_gongzuo_jiaotan-022	load:0.005	watermark:0.008	recognition:6.172	encrypt:13.666	compress:13.781	writeFileSync:13.791	end:13.792	15.239
/cannes_international_film_festival-018	load:0.009	watermark:0.011	recognition:9.537	encrypt:14.627	compress:14.759	writeFileSync:14.76	end:14.761	15.420
/shangwu_gongzuo_chuchai-016	load:0.006	watermark:0.008	recognition:6.285	encrypt:14.773	compress:14.921	writeFileSync:14.922	end:14.922	15.455
/cannes_international_film_festival-014	load:0.01	watermark:0.012	recognition:10.053	encrypt:15.102	compress:15.173	writeFileSync:15.174	end:15.174	15.544
/shangwu_gongzuo_chuchai-020	load:0.007	watermark:0.009	recognition:5.951	encrypt:14.902	compress:15.073	writeFileSync:15.075	end:15.075	15.684
/shangwu_gongzuo_chuchai-009	load:0.006	watermark:0.009	recognition:6.566	encrypt:14.186	compress:14.29	writeFileSync:14.29	end:14.291	15.631
/bailing_gongzuo_jiaotan-001	load:0.008	watermark:0.01	recognition:9.327	encrypt:13.931	compress:14.019	writeFileSync:14.019	end:14.019	15.629
/shangwu_gongzuo_chuchai-007	load:0.006	watermark:0.009	recognition:5.056	encrypt:15.228	compress:15.394	writeFileSync:15.395	end:15.395	15.838
/bailing_gongzuo_jiaotan-004	load:0.009	watermark:0.011	recognition:8.758	encrypt:14.159	compress:14.28	writeFileSync:14.28	end:14.281	15.767
/bailing_gongzuo_jiaotan-002	load:0.008	watermark:0.01	recognition:8.438	encrypt:14.269	compress:14.397	writeFileSync:14.398	end:14.398	15.828
/bailing_gongzuo_jiaotan-013	load:0.009	watermark:0.011	recognition:11.15	encrypt:15.422	compress:15.565	writeFileSync:15.566	end:15.566	15.995
/bailing_gongzuo_jiaotan-017	load:0.009	watermark:0.011	recognition:11.131	encrypt:15.627	compress:15.737	writeFileSync:15.738	end:15.738	16.037
/cannes_international_film_festival-020	load:0.008	watermark:0.01	recognition:11.139	encrypt:15.504	compress:15.586	writeFileSync:15.586	end:15.586	16.094
/bailing_gongzuo_jiaotan-016	load:0.01	watermark:0.012	recognition:9.272	encrypt:14.805	compress:14.88	writeFileSync:14.881	end:14.881	16.046
/shangwu_gongzuo_chuchai-017	load:0.005	watermark:0.008	recognition:5.807	encrypt:15.755	compress:15.888	writeFileSync:15.889	end:15.889	16.437
/bailing_gongzuo_jiaotan-015	load:0.009	watermark:0.011	recognition:11.264	encrypt:15.655	compress:15.728	writeFileSync:15.729	end:15.729	16.673
/bailing_gongzuo_jiaotan-005	load:0.009	watermark:0.011	recognition:9.941	encrypt:15.691	compress:15.789	writeFileSync:15.79	end:15.79	16.721
/shangwu_gongzuo_chuchai-025	load:0.006	watermark:0.009	recognition:5.754	encrypt:15.852	compress:15.974	writeFileSync:15.976	end:15.976	16.872
/bailing_gongzuo_jiaotan-014	load:0.01	watermark:0.011	recognition:12.797	encrypt:16.684	compress:16.771	writeFileSync:16.772	end:16.772	17.125
/shangwu_gongzuo_chuchai-029	load:0.006	watermark:0.009	recognition:6.429	encrypt:15.936	compress:16.054	writeFileSync:16.055	end:16.055	17.138
/shangwu_gongzuo_chuchai-023	load:0.006	watermark:0.009	recognition:6.216	encrypt:16.058	compress:16.156	writeFileSync:16.167	end:16.167	17.162
/shangwu_gongzuo_chuchai-034	load:0.005	watermark:0.008	recognition:7.246	encrypt:16.064	compress:16.182	writeFileSync:16.183	end:16.183	17.233
/cannes_international_film_festival-015	load:0.009	watermark:0.012	recognition:10.88	encrypt:15.504	compress:15.661	writeFileSync:15.661	end:15.661	17.243
/bailing_gongzuo_jiaotan-020	load:0.091	watermark:0.094	recognition:6.03	encrypt:17.378	compress:17.507	writeFileSync:17.508	end:17.509	17.550
/bailing_gongzuo_jiaotan-015	load:0.009	watermark:0.011	recognition:11.338	encrypt:15.951	compress:16.032	writeFileSync:16.033	end:16.033	17.550
/bailing_gongzuo_jiaotan-007	load:0.009	watermark:0.011	recognition:11.603	encrypt:16.415	compress:16.579	writeFileSync:16.579	end:16.579	17.602
/bailing_gongzuo_jiaotan-019	load:0.005	watermark:0.008	recognition:6.352	encrypt:16.934	compress:17.042	writeFileSync:17.043	end:17.043	17.753
/shangwu_gongzuo_chuchai-008	load:0.006	watermark:0.008	recognition:11.828	encrypt:17.346	compress:17.41	writeFileSync:17.411	end:17.411	17.926
/bailing_gongzuo_jiaotan-008	load:0.01	watermark:0.012	recognition:10.105	encrypt:16.629	compress:16.693	writeFileSync:16.694	end:16.694	17.900
/bailing_gongzuo_jiaotan-021	load:0.005	watermark:0.008	recognition:6.614	encrypt:16.47	compress:16.564	writeFileSync:16.566	end:16.566	17.983
/bailing_gongzuo_jiaotan-018	load:0.006	watermark:0.008	recognition:9.973	encrypt:17.644	compress:17.733	writeFileSync:17.734	end:17.735	18.238
/shangwu_gongzuo_chuchai-022	load:0.007	watermark:0.01	recognition:8.681	encrypt:17.269	compress:17.371	writeFileSync:17.397	end:17.398	18.261
/xiaoyuan_shenghuo-018	load:0.074	watermark:0.143	recognition:7.137	encrypt:8.91	compress:8.923	writeFileSync:8.923	end:8.923	18.487
/cannes_international_film_festival-016	load:0.008	watermark:0.011	recognition:10.892	encrypt:17.908	compress:18.004	writeFileSync:18.005	end:18.005	18.659
/shangwu_gongzuo_chuchai-032	load:0.005	watermark:0.008	recognition:6.708	encrypt:16.967	compress:17.108	writeFileSync:17.109	end:17.109	18.629
/bailing_gongzuo_jiaotan-020	load:0.006	watermark:0.009	recognition:7.747	encrypt:17.339	compress:17.444	writeFileSync:17.445	end:17.445	18.753
/xiaoyuan_shenghuo-016	load:0.075	watermark:0.077	recognition:7.311	encrypt:9.27	compress:9.305	writeFileSync:9.306	end:9.306	18.988
/bailing_gongzuo_jiaotan-013	load:0.009	watermark:0.012	recognition:12.877	encrypt:17.966	compress:18.072	writeFileSync:18.073	end:18.073	19.182
/shangwu_gongzuo_chuchai-003	load:0.079	watermark:0.159	recognition:7.36	encrypt:9.879	compress:9.927	writeFileSync:9.927	end:9.927	19.303
/cannes_international_film_festival-013	load:0.01	watermark:0.011	recognition:13.458	encrypt:18.937	compress:19.012	writeFileSync:19.013	end:19.013	19.671
/xiaoyuan_shenghuo-010	load:0.127	watermark:0.129	recognition:7.65	encrypt:9.615	compress:9.666	writeFileSync:9.666	end:9.666	19.687
/xiaoyuan_shenghuo-009	load:0.008	watermark:0.01	recognition:16.946	encrypt:19.085	compress:19.139	writeFileSync:19.14	end:19.14	19.800
/xiaoyuan_shenghuo-017	load:0.008	watermark:0.009	recognition:15.833	encrypt:18.189	compress:18.258	writeFileSync:18.259	end:18.259	19.796
/xiaoyuan_shenghuo-008	load:0.073	watermark:0.17	recognition:8.664	encrypt:10.644	compress:10.703	writeFileSync:10.703	end:10.704	20.127
/xiaoyuan_shenghuo-003	load:0.063	watermark:0.065	recognition:6.191	encrypt:7.612	compress:7.627	writeFileSync:7.628	end:7.629	20.239
/xiaoyuan_shenghuo-016	load:0.067	watermark:0.07	recognition:6.648	encrypt:8.761	compress:8.791	writeFileSync:8.792	end:8.792	20.585
/shangwu_gongzuo_chuchai-013	load:0.05	watermark:0.053	recognition:4.906	encrypt:8.62	compress:8.662	writeFileSync:8.663	end:8.663	20.866
/xiaoyuan_shenghuo-017	load:0.074	watermark:0.143	recognition:7.549	encrypt:9.523	compress:9.545	writeFileSync:9.546	end:9.546	20.930
/cannes_international_film_festival-006	load:0.144	watermark:0.147	recognition:8.088	encrypt:10.403	compress:10.491	writeFileSync:10.511	end:10.511	20.960
/shangwu_gongzuo_chuchai-021	load:0.006	watermark:0.008	recognition:13.679	encrypt:20.097	compress:20.193	writeFileSync:20.199	end:20.199	21.049
/bailing_gongzuo_jiaotan-003	load:0.143	watermark:0.146	recognition:8.8	encrypt:10.851	compress:11.213	writeFileSync:11.214	end:11.215	21.516
/xiaoyuan_shenghuo-010	load:0.104	watermark:0.159	recognition:6.67	encrypt:8.532	compress:8.547	writeFileSync:8.547	end:8.547	21.540
/shangwu_gongzuo_chuchai-006	load:0.142	watermark:0.144	recognition:8.308	encrypt:10.695	compress:10.748	writeFileSync:10.748	end:10.749	21.674
/bailing_gongzuo_jiaotan	load:0.136	watermark:0.138	recognition:8.886	encrypt:11.344	compress:11.402	writeFileSync:11.403	end:11.403	21.753
/shangwu_gongzuo_chuchai-010	load:0.047	watermark:0.05	recognition:4.845	encrypt:10.813	compress:10.887	writeFileSync:10.888	end:10.888	21.825
/xiaoyuan_shenghuo-012	load:0.091	watermark:0.153	recognition:6.305	encrypt:7.595	compress:7.761	writeFileSync:7.761	end:7.761	21.909
/xiaoyuan_shenghuo-004	load:0.076	watermark:0.078	recognition:6.238	encrypt:7.702	compress:7.762	writeFileSync:7.762	end:7.763	21.962
/xiaoyuan_shenghuo-018	load:0.097	watermark:0.166	recognition:5.606	encrypt:6.848	compress:6.861	writeFileSync:6.862	end:6.862	22.008
/cannes_international_film_festival-009	load:0.094	watermark:0.172	recognition:8.399	encrypt:11.189	compress:11.241	writeFileSync:11.241	end:11.241	22.165
/cannes_international_film_festival-010	load:0.097	watermark:0.149	recognition:7.621	encrypt:9.987	compress:10.042	writeFileSync:10.042	end:10.042	22.153
/shangwu_gongzuo_chuchai-005	load:0.131	watermark:0.133	recognition:7.62	encrypt:9.784	compress:9.866	writeFileSync:9.866	end:9.867	22.250
/xiaoyuan_shenghuo-014	load:0.118	watermark:0.12	recognition:6.187	encrypt:7.893	compress:7.955	writeFileSync:7.956	end:7.956	22.236
/shangwu_gongzuo_chuchai-027	load:0.081	watermark:0.085	recognition:5.918	encrypt:11.334	compress:11.41	writeFileSync:11.411	end:11.411	22.316
/xiaoyuan_shenghuo-001	load:0.071	watermark:0.137	recognition:6.509	encrypt:8.556	compress:8.605	writeFileSync:8.605	end:8.605	22.308
/xiaoyuan_shenghuo	load:0.077	watermark:0.146	recognition:7.058	encrypt:8.807	compress:8.862	writeFileSync:8.863	end:8.863	22.327
/shangwu_gongzuo_chuchai-028	load:0.062	watermark:0.064	recognition:4.994	encrypt:8.505	compress:8.598	writeFileSync:8.599	end:8.599	22.375
/shangwu_gongzuo_chuchai-018	load:0.086	watermark:0.088	recognition:6.69	encrypt:10.955	compress:11	writeFileSync:11.01	end:11.01	22.426
/shangwu_gongzuo_chuchai-001	load:0.151	watermark:0.154	recognition:7.898	encrypt:10.151	compress:10.203	writeFileSync:10.203	end:10.203	22.436
/shangwu_gongzuo_chuchai-019	load:0.072	watermark:0.075	recognition:6.669	encrypt:11.042	compress:11.083	writeFileSync:11.084	end:11.084	22.474
/xiaoyuan_shenghuo-017	load:0.088	watermark:0.089	recognition:6.736	encrypt:8.39	compress:8.407	writeFileSync:8.407	end:8.407	22.476
/shangwu_gongzuo_chuchai-014	load:0.076	watermark:0.079	recognition:5.933	encrypt:10.66	compress:10.731	writeFileSync:10.732	end:10.732	22.532
/shangwu_gongzuo_chuchai-033	load:0.076	watermark:0.079	recognition:6.05	encrypt:8.83	compress:8.885	writeFileSync:8.886	end:8.886	22.554
/shangwu_gongzuo_chuchai-002	load:0.078	watermark:0.143	recognition:6.425	encrypt:9.426	compress:9.507	writeFileSync:9.508	end:9.508	22.575
/xiaoyuan_shenghuo-013	load:0.08	watermark:0.152	recognition:6.107	encrypt:7.67	compress:7.706	writeFileSync:7.706	end:7.707	22.584
/xiaoyuan_shenghuo-006	load:0.084	watermark:0.085	recognition:6.418	encrypt:8.187	compress:8.224	writeFileSync:8.225	end:8.225	22.602
/shangwu_gongzuo_chuchai-011	load:0.082	watermark:0.201	recognition:6.099	encrypt:11.044	compress:11.127	writeFileSync:11.128	end:11.128	22.703
/cannes_international_film_festival-002	load:0.148	watermark:0.15	recognition:10.477	encrypt:12.646	compress:12.671	writeFileSync:12.68	end:12.68	22.730
/shangwu_gongzuo_chuchai-026	load:0.075	watermark:0.078	recognition:5.928	encrypt:10.845	compress:10.894	writeFileSync:10.896	end:10.897	22.795
/xiaoyuan_shenghuo-018	load:0.075	watermark:0.078	recognition:6.832	encrypt:7.859	compress:7.872	writeFileSync:7.872	end:7.872	22.764
/xiaoyuan_shenghuo-015	load:0.136	watermark:0.141	recognition:5.91	encrypt:6.897	compress:7.287	writeFileSync:7.288	end:7.289	22.770
/cannes_international_film_festival-018	load:0.147	watermark:0.149	recognition:9.171	encrypt:11.748	compress:11.79	writeFileSync:11.795	end:11.795	22.843
/shangwu_gongzuo_chuchai-008	load:0.072	watermark:0.075	recognition:5.023	encrypt:8.545	compress:8.594	writeFileSync:8.595	end:8.595	22.844
/xiaoyuan_shenghuo-009	load:0.076	watermark:0.14	recognition:6.313	encrypt:7.714	compress:7.753	writeFileSync:7.753	end:7.753	22.916
/xiaoyuan_shenghuo-016	load:0.14	watermark:0.142	recognition:6.327	encrypt:7.831	compress:7.88	writeFileSync:7.88	end:7.88	22.975
/cannes_international_film_festival-011	load:0.124	watermark:0.127	recognition:8.411	encrypt:10.359	compress:10.408	writeFileSync:10.413	end:10.413	23.020
/cannes_international_film_festival-020	load:0.092	watermark:0.17	recognition:7.867	encrypt:8.53	compress:8.562	writeFileSync:8.565	end:8.565	22.999
/cannes_international_film_festival-003	load:0.118	watermark:0.176	recognition:8.478	encrypt:10.965	compress:11.033	writeFileSync:11.035	end:11.035	23.055
/xiaoyuan_shenghuo-005	load:0.077	watermark:0.079	recognition:5.753	encrypt:7.328	compress:7.378	writeFileSync:7.382	end:7.384	23.008
/bailing_gongzuo_jiaotan-010	load:0.096	watermark:0.157	recognition:8.095	encrypt:10.422	compress:10.458	writeFileSync:10.464	end:10.465	23.067
/cannes_international_film_festival-019	load:0.143	watermark:0.145	recognition:7.808	encrypt:10.078	compress:10.148	writeFileSync:10.182	end:10.182	23.167
/shangwu_gongzuo_chuchai-012	load:0.092	watermark:0.098	recognition:5.658	encrypt:10.992	compress:11.093	writeFileSync:11.098	end:11.098	23.198
/bailing_gongzuo_jiaotan-017	load:0.009	watermark:0.011	recognition:20.216	encrypt:22.028	compress:22.071	writeFileSync:22.085	end:22.085	23.280
/bailing_gongzuo_jiaotan-011	load:0.082	watermark:0.151	recognition:8.425	encrypt:10.533	compress:10.561	writeFileSync:10.562	end:10.562	23.241
/shangwu_gongzuo_chuchai-021	load:0.073	watermark:0.145	recognition:6.193	encrypt:11.108	compress:11.165	writeFileSync:11.165	end:11.165	23.296
/xiaoyuan_shenghuo-008	load:0.071	watermark:0.133	recognition:6.712	encrypt:7.854	compress:7.881	writeFileSync:7.883	end:7.886	23.246
/xiaoyuan_shenghuo-011	load:0.074	watermark:0.075	recognition:5.291	encrypt:7.978	compress:8.007	writeFileSync:8.008	end:8.008	23.255
/shangwu_gongzuo_chuchai-015	load:0.073	watermark:0.076	recognition:6.615	encrypt:12.601	compress:12.647	writeFileSync:12.647	end:12.647	23.402
/cannes_international_film_festival-016	load:0.128	watermark:0.211	recognition:8.032	encrypt:11.423	compress:11.474	writeFileSync:11.482	end:11.483	23.395
/xiaoyuan_shenghuo	load:0.077	watermark:0.148	recognition:7.101	encrypt:7.777	compress:7.804	writeFileSync:7.807	end:7.807	23.355
/cannes_international_film_festival-005	load:0.139	watermark:0.14	recognition:7.016	encrypt:8.952	compress:8.985	writeFileSync:8.99	end:8.99	23.375
/xiaoyuan_shenghuo-002	load:0.077	watermark:0.148	recognition:7.24	encrypt:8.964	compress:8.999	writeFileSync:8.999	end:8.999	23.391
/shangwu_gongzuo_chuchai-031	load:0.069	watermark:0.072	recognition:4.729	encrypt:8.156	compress:8.192	writeFileSync:8.192	end:8.193	23.431
/cannes_international_film_festival-017	load:0.155	watermark:0.157	recognition:8.267	encrypt:11.039	compress:11.079	writeFileSync:11.08	end:11.081	23.530
/cannes_international_film_festival-014	load:0.151	watermark:0.153	recognition:9.46	encrypt:11.725	compress:11.776	writeFileSync:11.778	end:11.778	23.568
/shangwu_gongzuo_chuchai-020	load:0.101	watermark:0.103	recognition:5.625	encrypt:10.095	compress:10.152	writeFileSync:10.153	end:10.153	23.588
/cannes_international_film_festival-012	load:0.069	watermark:0.136	recognition:5.966	encrypt:9.187	compress:9.239	writeFileSync:9.241	end:9.241	23.591
/cannes_international_film_festival-008	load:0.141	watermark:0.143	recognition:9.655	encrypt:11.85	compress:11.888	writeFileSync:11.889	end:11.889	23.667
